ID,FIPS ,Lat,Long,coordinate
0,48201100000,29.75220548,-95.3576434,"29.7522054849183, -95.357643395883"
1,48201210100,29.76780459,-95.35319847,"29.7678045923206, -95.3531984663627"
2,48201210400,29.786235,-95.360054,"29.786235, -95.360054"
3,48201210500,29.79584,-95.359072,"29.79584, -95.359072"
4,48201210600,29.806643,-95.364764,"29.806643, -95.364764"
5,48201210700,29.806789,-95.354432,"29.806789, -95.354432"
6,48201210800,29.789021,-95.344961,"29.789021, -95.344961"
7,48201210900,29.803528,-95.330865,"29.803528, -95.330865"
8,48201211000,29.796838,-95.331464,"29.796838, -95.331464"
9,48201211100,29.78519175,-95.32812327,"29.7851917529894, -95.3281232715173"
10,48201211200,29.797048,-95.32077,"29.797048, -95.32077"
11,48201211300,29.78499149,-95.32808034,"29.7849914898849, -95.3280803448662"
12,48201211400,29.768281,-95.327281,"29.768281, -95.327281"
13,48201211500,29.76501166,-95.3035528,"29.7650116587188, -95.3035527958838"
14,48201211600,29.781215,-95.311052,"29.781215, -95.311052"
15,48201211700,29.798717,-95.310958,"29.798717, -95.310958"
16,48201211900,29.783685,-95.300008,"29.783685, -95.300008"
17,48201212300,29.777568,-95.356505,"29.777568, -95.356505"
18,48201212400,29.78057,-95.296751,"29.78057, -95.296751"
19,48201212500,29.760984,-95.273443,"29.760984, -95.273443"
20,48201220100,29.816488,-95.344053,"29.816488, -95.344053"
21,48201220200,29.816872,-95.364453,"29.816872, -95.364453"
22,48201220300,29.824667,-95.366326,"29.824667, -95.366326"
23,48201220400,29.83326,-95.366743,"29.83326, -95.366743"
24,48201220500,29.837928,-95.381013,"29.837928, -95.381013"
25,48201220600,29.841376,-95.367188,"29.841376, -95.367188"
26,48201220700,29.83684685,-95.35040745,"29.8368468456275, -95.3504074526451"
27,48201220800,29.829982,-95.338853,"29.829982, -95.338853"
28,48201220900,29.846974,-95.338155,"29.846974, -95.338155"
29,48201221000,29.858789,-95.345296,"29.858789, -95.345296"
30,48201221100,29.85844,-95.355517,"29.85844, -95.355517"
31,48201221200,29.864387,-95.37258,"29.864387, -95.37258"
32,48201221300,29.84616663,-95.37948124,"29.8461666273547, -95.3794812368208"
33,48201221400,29.853705,-95.392387,"29.853705, -95.392387"
34,48201221500,29.86221726,-95.3983317,"29.8622172595555, -95.3983316958703"
35,48201221600,29.88707251,-95.39362895,"29.8870725068313, -95.393628953866"
36,48201221700,29.87960403,-95.38214528,"29.8796040271437, -95.3821452823564"
37,48201221800,29.883374,-95.359571,"29.883374, -95.359571"
38,48201221900,29.880064,-95.348905,"29.880064, -95.348905"
39,48201222000,29.869237,-95.337473,"29.869237, -95.337473"
40,48201222100,29.87998,-95.336109,"29.87998, -95.336109"
41,48201222200,29.892307,-95.323093,"29.892307, -95.323093"
42,48201222300,29.896595,-95.345427,"29.896595, -95.345427"
43,48201222401,29.900708,-95.397341,"29.900708, -95.397341"
44,48201222402,29.909247,-95.389538,"29.909247, -95.389538"
45,48201222501,29.927727,-95.404974,"29.927727, -95.404974"
46,48201222502,29.923439,-95.391097,"29.923439, -95.391097"
47,48201222503,29.92292603,-95.40615265,"29.9229260275241, -95.4061526503048"
48,48201222600,29.93268,-95.39739291,"29.9326800044814, -95.3973929104284"
49,48201222700,29.93644651,-95.34188143,"29.9364465123691, -95.3418814251705"
50,48201222800,29.912114,-95.364146,"29.912114, -95.364146"
51,48201222900,29.911614,-95.342445,"29.911614, -95.342445"
52,48201223001,29.90601,-95.318294,"29.90601, -95.318294"
53,48201223002,29.905732,-95.328515,"29.905732, -95.328515"
54,48201223100,29.924519,-95.310517,"29.924519, -95.310517"
55,48201230100,29.816266,-95.32996,"29.816266, -95.32996"
56,48201230200,29.821969,-95.307683,"29.821969, -95.307683"
57,48201230300,29.835108,-95.312153,"29.835108, -95.312153"
58,48201230400,29.830049,-95.326236,"29.830049, -95.326236"
59,48201230500,29.849071,-95.32832,"29.849071, -95.32832"
60,48201230600,29.844758,-95.310127,"29.844758, -95.310127"
61,48201230700,29.852538,-95.309111,"29.852538, -95.309111"
62,48201230800,29.838723,-95.293968,"29.838723, -95.293968"
63,48201230900,29.820475,-95.281129,"29.820475, -95.281129"
64,48201231000,29.840372,-95.277896,"29.840372, -95.277896"
65,48201231100,29.839216,-95.256954,"29.839216, -95.256954"
66,48201231200,29.852872,-95.247335,"29.852872, -95.247335"
67,48201231300,29.853984,-95.274598,"29.853984, -95.274598"
68,48201231400,29.86337,-95.28926,"29.86337, -95.28926"
69,48201231500,29.859638,-95.296795,"29.859638, -95.296795"
70,48201231600,29.862771,-95.30663,"29.862771, -95.30663"
71,48201231700,29.878338,-95.318328,"29.878338, -95.318328"
72,48201231800,29.877436,-95.306541,"29.877436, -95.306541"
73,48201231900,29.882025,-95.286105,"29.882025, -95.286105"
74,48201232000,29.899193,-95.284761,"29.899193, -95.284761"
75,48201232100,29.904405,-95.305841,"29.904405, -95.305841"
76,48201232200,29.92847221,-95.27622272,"29.9284722109772, -95.2762227233134"
77,48201232301,29.89217821,-95.22986677,"29.8921782079759, -95.2298667735245"
78,48201232302,29.86780465,-95.19051275,"29.8678046472092, -95.1905127513786"
79,48201232401,29.80843571,-95.16715997,"29.8084357083807, -95.167159968455"
80,48201232402,29.811658,-95.188594,"29.811658, -95.188594"
81,48201232403,29.81193,-95.200121,"29.81193, -95.200121"
82,48201232500,29.803776,-95.241281,"29.803776, -95.241281"
83,48201232600,29.778624,-95.242596,"29.778624, -95.242596"
84,48201232701,29.781603,-95.223725,"29.781603, -95.223725"
85,48201232702,29.79412344,-95.21361797,"29.7941234418249, -95.2136179661515"
86,48201232800,29.78197182,-95.20685301,"29.7819718247019, -95.2068530114673"
87,48201232900,29.80171192,-95.20059118,"29.8017119229186, -95.2005911794396"
88,48201233001,29.796775,-95.183261,"29.796775, -95.183261"
89,48201233002,29.800339,-95.170478,"29.800339, -95.170478"
90,48201233003,29.793875,-95.171556,"29.793875, -95.171556"
91,48201233101,29.786373,-95.177598,"29.786373, -95.177598"
92,48201233102,29.78235844,-95.16536737,"29.782358442388, -95.1653673672515"
93,48201233103,29.776963,-95.176192,"29.776963, -95.176192"
94,48201233200,29.780685,-95.191611,"29.780685, -95.191611"
95,48201233300,29.763945,-95.21078,"29.763945, -95.21078"
